Trading_Date,Time,DJIA,S&P 500,NASDAQ Composite,,,,,,,,,,,,,,,,,,NASDAQ_Composite_24h_Change_pct
15/1/2025,16:00:00,43221.55078,5949.910156,19511.23047,,,,,,,,,,,,,,,,,,1.8245
16/1/2025,9:30:00,43122.62109,5943.740234,19463.87891,,,,,,,,,,,,,,,,,,3.2073
16/1/2025,10:30:00,43216.03906,5954.990234,19474.15234,,,,,,,,,,,,,,,,,,3.0735
16/1/2025,11:30:00,43263.12891,5958.990234,19479.80664,,,,,,,,,,,,,,,,,,2.6631
16/1/2025,12:30:00,43172.26172,5943.75,19406.27734,,,,,,,,,,,,,,,,,,2.0514
16/1/2025,13:30:00,43172.94141,5946.220215,19419.08984,,,,,,,,,,,,,,,,,,2.0962
16/1/2025,14:30:00,43155.98828,5944.25,19412.29297,,,,,,,,,,,,,,,,,,2.0813
16/1/2025,15:30:00,43154.17969,5937.379883,19338.12891,,,,,,,,,,,,,,,,,,1.3324
16/1/2025,16:00:00,43153.12891,5937.339844,19338.28906,,,,,,,,,,,,,,,,,,1.3107
17/1/2025,9:30:00,43518.05859,5990.660156,19582.00586,,,,,,,,,,,,,,,,,,2.1918
17/1/2025,10:30:00,43590.07031,6008.939941,19672.86719,,,,,,,,,,,,,,,,,,3.2214
17/1/2025,11:30:00,43633.57031,6011.490234,19670.14453,,,,,,,,,,,,,,,,,,3.5258
17/1/2025,12:30:00,43598.85156,6012.129883,19692.93164,,,,,,,,,,,,,,,,,,3.2188
17/1/2025,13:30:00,43546.92969,6005.959961,19666.97266,,,,,,,,,,,,,,,,,,2.8854
17/1/2025,14:30:00,43538.28906,6002.069824,19634.00586,,,,,,,,,,,,,,,,,,3.465
17/1/2025,15:30:00,43491.42969,5997.069824,19630.42188,,,,,,,,,,,,,,,,,,3.0688
17/1/2025,16:00:00,43487.82813,5996.660156,19630.19922,,,,,,,,,,,,,,,,,,3.076
21/1/2025,9:30:00,43773.51172,6024.200195,19661.37891,,,,,,,,,,,,,,,,,,0.9187
21/1/2025,10:30:00,43910.98828,6028.470215,19654.88281,,,,,,,,,,,,,,,,,,1.1517
21/1/2025,11:30:00,43934.33984,6037.740234,19715.12695,,,,,,,,,,,,,,,,,,1.4829
21/1/2025,12:30:00,43950.41016,6047.060059,19771.26367,,,,,,,,,,,,,,,,,,1.4934
